_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
26001,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CE5582P-IRP,"Аналоговая видеокамера Hikvision DS-2CE5582P-IRP  представляет собой универсальное бюджетное решение для внутренних инсталляций. Устройство облачено в компактный корпус и оборудовано встроенной ИК-подсветкой, позволяющей осуществлять видеоконтроль даже в полной темноте. Благодаря широкому диапазону рабочих температур прибор может быть установлен как в теплом офисе, так и в неотапливаемом помещении. 3-осевое крепление объектива дает возможность монтировать устройство с одинаковой легкостью на стене и потолке.",0,img/26001.jpg
26002,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CE5582P-IR,,0,img/26002.jpg
26003,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CE1582P-IR1,"Bullet-модель Hikvision DS-2CE1582P-IR1 является недорогим аналоговым решением для организации систем видеонаблюдения с ограниченным бюджетом. Корпус камеры соответствует стандарту защиты от погодных воздействий IP66, с тыльной стороны в него интегрирован поворотный кронштейн для простоты монтажа. Расширенный диапазон рабочих температур позволяет использовать устройство как под прямыми солнечными лучами, так и в мороз до -40°C. Прибор оборудован ИК-подсветкой с дальностью действия до 20 метров, дающей возможность прекрасно «видеть» в полной темноте без дополнительного освещения. Модель идеально подойдет для осуществления видеоконтроля за небольшими открытыми территориями, необорудованными ночными источниками света или имеющими риск его отключения.",0,img/26003.jpg
26004,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CE1582P-IR3,"Bullet-модель Hikvision DS-2CE1582P-IR3 является недорогим аналоговым решением для организации систем видеонаблюдения с ограниченным бюджетом. Корпус камеры соответствует стандарту защиты от погодных воздействий IP66, с тыльной стороны в него интегрирован поворотный кронштейн для простоты монтажа. Расширенный диапазон рабочих температур позволяет использовать устройство как под прямыми солнечными лучами, так и в мороз до -40°C. Прибор оборудован ИК-подсветкой с дальностью действия до 40 метров, дающей возможность прекрасно «видеть» в полной темноте без дополнительного освещения. Модель идеально подойдет для осуществления видеоконтроля за небольшими открытыми территориями, необорудованными ночными источниками света или имеющими риск его отключения.",0,img/26004.jpg
26005,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CE1582-VFIR3,"Bullet-модель Hikvision DS-2CE1582-VFIR3 является недорогим аналоговым решением для организации систем видеонаблюдения с ограниченным бюджетом. Корпус камеры соответствует стандарту защиты от погодных воздействий IP66, с тыльной стороны в него интегрирован поворотный кронштейн для простоты монтажа. Расширенный диапазон рабочих температур позволяет использовать устройство как под прямыми солнечными лучами, так и в мороз до -40°C. Прибор оборудован ИК-подсветкой с дальностью действия до 20 метров, дающей возможность прекрасно «видеть» в полной темноте без дополнительного освещения. Модель идеально подойдет для осуществления видеоконтроля за небольшими открытыми территориями, необорудованными ночными источниками света или имеющими риск его отключения.",0,img/26005.jpg
26006,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CE5582-VFIR3,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/26006.jpg
26007,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CC5281P-AVPIR2,"Модель Hikvision DS-2CC5281P-AVPIR2 является универсальным устройством для создания надежной системы охранного телевидения на улице. Камера заключена в вандалозащищенный IP66-корпус, что гарантирует неприкосновенность электроники при любых внешних воздействиях. Использование вариофокального объектива с 3-осевым креплением дает возможность с одинаковой легкостью инсталлировать прибор как на вертикальных, так и на горизонтальных поверхностях. Для упрощения процесса монтажа в камеру заложено OSD-меню. Набор корректирующих функций DWDR-BLC-Eclipse-3D-DNR создает превосходное изображение вне зависимости от условий освещенности и уровня засветки деталей сцены. Данная одель прекрасно адаптирована к работе летом под открытым солнцем и зимой на морозе до отметки -40°C. Особенно актуально применение камеры в местах, где имеется риск механического повреждения, а также на открытых площадях с разноконтрастным или полностью отсутствующим освещением.",0,img/26007.jpg
26008,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CC502-IR,АНАЛОГ ВЗАМЕН: Hikvision DS-2CC5132P-IR ,0,img/26008.jpg
26009,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CC5192P-VPIR (low light),"Аналоговая антивандальная камера Hikvision DS-2CC5192P-VPIR (low light) с ИК подсветкой до 30 м, содержит большой функционал, раскрывающийся в организации наружного и внутреннего видеонаблюдения со слабой освещенностью. Благодаря матрице 1/3-дюйма, основанной на ПЗС технологии, достигается разрешение 650 ТВЛ и сверхчувствительность 0.001 Люкс (sens up 512х), изображение с видеокамеры получается в наилучшем качестве дневной и ночной съемки. Устройство оснащено регулируемым кронштейном (три плоскости) на котором установлен АРД вариообъектив 2.8-12 мм.",12990,img/26009.jpg
26010,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Hikvision,Hikvision DS-2CC1181P,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,img/26010.jpg
