_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_DESCRIPTION_,_PRICE_,_IMAGE_
37001,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom D-900(90),,0,img/37001.jpg
37002,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom D-900(90)-w,,0,img/37002.jpg
37003,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom DX-1000 127/36,,0,img/37003.jpg
37004,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom DX-550 130/30,,0,img/37004.jpg
37005,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom DX-900 130/30,,0,img/37005.jpg
37006,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom R-550 (90) EVOLUTION,,0,img/37006.jpg
37011,"Системы видеонаблюдения|IP-видеонаблюдение|Термокожухи, кронштейны, аксессуары",RVi,RVi-H3/PoE,"RVi-H3/PoE - термокожух с поддержкой питания по PoE (IEEE802.3at). Благодаря полностью откидывающейся верхней части корпуса, обеспечивается легкий доступ ко всему внутреннему пространству термокожуха, что облегчает монтаж и обслуживание. Корпус выполнен из легкого и прочного алюминиевого сплава.",8000,img/37011.jpg
37012,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),Falcon Eye,Falcon Eye FE-4208H-P 4POE,"Falcon Eye FE-4208H-P 4POE - 8-канальный сетевой регистратор  – современный комплект от компании Falcon Eye. Настроить и поставить оборудование сможет даже человек без особых навыков. Надежность комплекта, его технические характеристики, а также функциональность удовлетворяют самые строгие критерии оценки систем безопасности.",11250,img/37012.jpg
37019,Домофонные системы|Домофоны|Видеодомофон,Kenwei,Kenwei KW-E705C-W200 черный,"Kenwei KW-E705C-W200 черный - стильный монитор домофона с широким цветным дисплеем 7"" и трубкой, которая крепится с помощью магнита. Отличительной особенностью данной модели является встроенный слот для карт памяти, SD карта на 16Гб в комплекте и поддержка автоматической записи цветных изображений или видео на данную карту памяти. К монитору можно подключить 2 вызывные панели или камеры, переговорную трубку, кнопку дверного звонка и 4 параллельных видеомонитора. Для сигнала вызова можно поставить одну из 12 полифонических мелодий. Наличие выхода питания на 12В позволит запитать от монитора внешние устройства.",10868,img/37019.jpg
37021,"Системы отопления, водоснабжения и канализации|Приборы контроля и управления|Система управления водоснабжением AquaBast",СКАТ,СКАТ AquaBast,"СКАТ AquaBast - контрольный прибор для создания системы управления отоплением и водоснабжением. Для работы системы необходим модуль управления и подключенные к нему, в зависимости от конфигурации, датчики протечки, краны с электроприводом, информатор GSM и датчик уровня воды.",3700,img/37021.jpg
