_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_META_TITLE_,_META_H1_,_META_KEYWORDS_,_SEO_KEYWORD_,_META_DESCRIPTION_,_DESCRIPTION_,_PRICE_,_IMAGE_,,
4333,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Panasonic,Panasonic WJ-HD616K/G,Panasonic WJ-HD616K/G,Panasonic WJ-HD616K/G,"Системы видеонаблюдения,Видеонаблюдение,Panasonic WJ-HD616K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Panasonic WJ-HD616K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Panasonic WJ-HD616K/G 16-канальный цифровой дисковый H.264-рекордер реального времени, совместимый с мониторами Full HD и технологией SD5Link. Реализация кодека H.264 (High profile) в разработанной компанией Panasonic уникальной архитектуре высокой степен","Panasonic WJ-HD616K/G 16-канальный цифровой дисковый H.264-рекордер реального времени, совместимый с мониторами Full HD и технологией SD5Link. Реализация кодека H.264 (High profile) в разработанной компанией Panasonic уникальной архитектуре высокой степени интеграции “UniPhier®” наряду с качественным изображением гарантирует высокую степень его сжатия. 16 аналоговых входов для видеокамер, из них  8  входов для камер Panasonic с управлением по коаксиальному кабелю и 4 звуковых входа. Запись в реальном времени  200 изобр./c (поле), 100 изобр./c (кадр). Один выход на монитор для просмотра в реальном времени и воспроизведения (HDMI, BNC); один выход на монитор для просмотра в реальном времени (HDMI, BNC). 2 HDMI-интерфейса совместимы с мониторами, поддерживающими разрешение 1080i (1920 x 1080). Максимум 960/800 изобр./c на 16 каналах, выводимых на 2 монитора реального времени. Разнообразные режимы отображения: разделение экрана на 4 / 7 / 9 / 12 / 16 полей. Совместимость с технологией SD5Link (Super Dynamic 5 Link) и сигналом тревоги от i-VMD (интеллектуального видеодетектора движения) экономит место на диске и облегчает поиск фрагмента.",246560,catalog/img/4333.jpg,,
4334,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Panasonic,Panasonic WJ-HD716K/G,Panasonic WJ-HD716K/G,Panasonic WJ-HD716K/G,"Системы видеонаблюдения,Видеонаблюдение,Panasonic WJ-HD716K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Panasonic WJ-HD716K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Panasonic WJ-HD716K/G 16-канальный цифровой дисковый H.264-рекордер реального времени, совместимый с мониторами Full HD и технологией SD5Link. Реализация кодека H.264 (High profile) в разработанной компанией Panasonic уникальной архитектуре высокой степен","Panasonic WJ-HD716K/G 16-канальный цифровой дисковый H.264-рекордер реального времени, совместимый с мониторами Full HD и технологией SD5Link. Реализация кодека H.264 (High profile) в разработанной компанией Panasonic уникальной архитектуре высокой степени интеграции “UniPhier®” наряду с качественным изображением гарантирует высокую степень его сжатия. 16 аналоговых входов для видеокамер, из них 16 (WJ-HD716) входов для камер Panasonic с управлением по коаксиальному кабелю и 4 звуковых входа. Запись в реальном времени: 400 изобр./c (поле), 200 изобр./c (кадр). Один выход на монитор для просмотра в реальном времени и воспроизведения (HDMI, BNC); один выход на монитор для просмотра в реальном времени (HDMI, BNC). 2 HDMI-интерфейса совместимы с мониторами, поддерживающими разрешение 1080i (1920 x 1080). Максимум 960/800 изобр./c на 16 каналах, выводимых на 2 монитора реального времени. Разнообразные режимы отображения: разделение экрана на 4 / 7 / 9 / 12 / 16 полей. Совместимость с технологией SD5Link (Super Dynamic 5 Link) и сигналом тревоги от i-VMD (интеллектуального видеодетектора движения) экономит место на диске и облегчает поиск фрагмента. В режиме каскадного соединения система может включать максимум 5 рекордеров и 80 камер. Имеет 4 слота для жестких дисков, доступных со стороны передней панели. Запись в формате RAID5/6 с опциональной платой WJ-HDB601. К портам PS-Data можно подключить 4 отдельно поставляемых системных контроллера WV-CU650. Простой в работе графический пользовательский интерфейс, управляемый мышью. Удаленный мониторинг при помощи браузера Internet Explorer® и программы WV-ASM100. Передача изображения в формате H.264 с разрешением QVGA в сетях с малой полосой пропускания. Настроечные данные рекордеров  WJ-HD716K/G  могут быть как записаны, так и загружены с SD-карты. Аутентификация “Пользователь/Хост” (максимум 32 зарегистрированных пользователя). В сети могут работать одновременно 8 пользователей. Простота в обслуживании: замена жестких дисков осуществляется со стороны передней панели, сервисный порт также находится на передней панели.",349280,catalog/img/4334.jpg,,
4335,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеорегистраторы (NVR),Panasonic,Panasonic WJ-ND400K/G,Panasonic WJ-ND400K/G,Panasonic WJ-ND400K/G,"Системы видеонаблюдения,IP-видеонаблюдение,Panasonic WJ-ND400K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Panasonic WJ-ND400K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",395040,catalog/img/4335.jpg,,
4336,Системы видеонаблюдения|Видеонаблюдение|Видеорегистраторы,Panasonic,Panasonic WJ-RT416K/G,Panasonic WJ-RT416K/G,Panasonic WJ-RT416K/G,"Системы видеонаблюдения,Видеонаблюдение,Panasonic WJ-RT416K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Panasonic WJ-RT416K/G,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4336.jpg,,
4376,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Panasonic,Panasonic WV-LC1700/G3,Panasonic WV-LC1700/G3,Panasonic WV-LC1700/G3,"Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LC1700/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LC1700/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4376.jpg,,
4377,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Panasonic,Panasonic WV-LC1900/G3,Panasonic WV-LC1900/G3,Panasonic WV-LC1900/G3,"Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LC1900/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LC1900/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4377.jpg,,
4378,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Panasonic,Panasonic WV-LW1900/G3,Panasonic WV-LW1900/G3,Panasonic WV-LW1900/G3,"Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LW1900/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LW1900/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4378.jpg,,
4379,Системы видеонаблюдения|Мониторы видеонаблюдения|Мониторы для видеонаблюдения (Вход BNC),Panasonic,Panasonic WV-LW2200/G3,Panasonic WV-LW2200/G3,Panasonic WV-LW2200/G3,"Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LW2200/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Мониторы видеонаблюдения,Panasonic WV-LW2200/G3,Panasonic,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4379.jpg,,
4380,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Arecont Vision ,Arecont Vision AV8180,Arecont Vision AV8180,Arecont Vision AV8180,"Системы видеонаблюдения,IP-видеонаблюдение,Arecont Vision AV8180,Arecont Vision ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Arecont Vision AV8180,Arecont Vision ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4380.jpg,,
4434,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,KT&C, KPC-S50NV1, KPC-S50NV1, KPC-S50NV1, KPC-S50NV1,"Системы видеонаблюдения,Видеонаблюдение,KT&C; KPC-S50NV1,KT&C,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,KT&C; KPC-S50NV1,KT&C,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4434.jpg,,0
