_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_META_TITLE_,_META_H1_,_META_KEYWORDS_,_SEO_KEYWORD_,_META_DESCRIPTION_,_DESCRIPTION_,_PRICE_,_IMAGE_
5271,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi,ACTi ACD-3100,ACTi ACD-3100,ACTi ACD-3100,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi ACD-3100,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi ACD-3100,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН НА ВЫБОР,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,catalog/img/5271.jpg
5272,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi,ACTi TCD-2500,ACTi TCD-2500,ACTi TCD-2500,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi TCD-2500,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi TCD-2500,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","1-канальный видеосервер последнего поколения  ACTi TCD-2500 передает по LAN/WAN сетям цветное или черно-белое изображение и звук с аналоговых телекамер в формате H.264,Motion JPEG или MPEG-4 с разрешением Full D1  (720х576 пкс )  со скоростью до 25 к/с на","1-канальный видеосервер последнего поколения  ACTi TCD-2500 передает по LAN/WAN сетям цветное или черно-белое изображение и звук с аналоговых телекамер в формате H.264,Motion JPEG или MPEG-4 с разрешением Full D1  (720х576 пкс )  со скоростью до 25 к/с на каждый канал. Высокопроизводительный видеосервер предназначен для использования в крупных системах видеонаблюдения, может быть установлен в 19-дюймовую стойку и надежно защищен от сбоев и зависаний системы. Сетевой видеосервер имеет встроенный детектор движения и по два цифровых входа и релейных выхода на каждый канал.",22816,catalog/img/5272.jpg
5273,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi,ACTi ACD-2100,ACTi ACD-2100,ACTi ACD-2100,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi ACD-2100,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi ACD-2100,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН НА ВЫБОР,АНАЛОГ ВЗАМЕН НА ВЫБОР,0,catalog/img/5273.jpg
5274,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi,ACTi SED-2140T,ACTi SED-2140T,ACTi SED-2140T,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2140T,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2140T,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: ACTi ACD-2100T,АНАЛОГ ВЗАМЕН: ACTi ACD-2100T,0,catalog/img/5274.jpg
5275,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi,ACTi SED-2140,ACTi SED-2140,ACTi SED-2140,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2140,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2140,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: ACTi ACD-2100,АНАЛОГ ВЗАМЕН: ACTi ACD-2100,0,catalog/img/5275.jpg
5276,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi,ACTi SED-2610,ACTi SED-2610,ACTi SED-2610,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2610,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2610,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: ACTi ACD-2300,АНАЛОГ ВЗАМЕН: ACTi ACD-2300,0,catalog/img/5276.jpg
5277,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi ,ACTi SED-2120,ACTi SED-2120,ACTi SED-2120,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2120,ACTi ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2120,ACTi ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",ACTI SED-2120 - Настенный одноканальный видеосервер на расширенный температурный диапазон.,ACTI SED-2120 - Настенный одноканальный видеосервер на расширенный температурный диапазон.,0,catalog/img/5277.jpg
5278,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi ,ACTi SED-2320QT,ACTi SED-2320QT,ACTi SED-2320QT,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2320QT,ACTi ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2320QT,ACTi ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",ACTI SED-2320QT - Четырехканальный видеосервер на расширенный температурный диапазон с аудио входом и выходом,ACTI SED-2320QT - Четырехканальный видеосервер на расширенный температурный диапазон с аудио входом и выходом,0,catalog/img/5278.jpg
5279,Системы видеонаблюдения|IP-видеонаблюдение|IP Видеосерверы,ACTi,ACTi SED-2320Q,ACTi SED-2320Q,ACTi SED-2320Q,"Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2320Q,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,ACTi SED-2320Q,ACTi,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",ACTI SED-2320Q - Четырехканальный видеосервер на расширенный температурный диапазон с аудио входом и выходом,ACTI SED-2320Q - Четырехканальный видеосервер на расширенный температурный диапазон с аудио входом и выходом,0,catalog/img/5279.jpg
5280,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-2 EVOLUTION,Germikom F-2 EVOLUTION,Germikom F-2 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-2 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-2 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom F-5 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom F-5 EVOLUTION,0,catalog/img/5280.jpg
5281,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-3 EVOLUTION,Germikom F-3 EVOLUTION,Germikom F-3 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-3 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-3 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom F-5 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom F-5 EVOLUTION,0,catalog/img/5281.jpg
5282,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-4 EVOLUTION,Germikom F-4 EVOLUTION,Germikom F-4 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-4 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-4 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom F-5 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom F-5 EVOLUTION,0,catalog/img/5282.jpg
5283,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-5 EVOLUTION,Germikom F-5 EVOLUTION,Germikom F-5 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-5 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-5 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",,,0,catalog/img/5283.jpg
5284,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom FX-2 EVOLUTION,Germikom FX-2 EVOLUTION,Germikom FX-2 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom FX-2 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom FX-2 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom FX-5 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom FX-5 EVOLUTION,0,catalog/img/5284.jpg
5285,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom FX-3 EVOLUTION,Germikom FX-3 EVOLUTION,Germikom FX-3 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom FX-3 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom FX-3 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom FX-5 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom FX-5 EVOLUTION,0,catalog/img/5285.jpg
5286,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom FX-4 EVOLUTION,Germikom FX-4 EVOLUTION,Germikom FX-4 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom FX-4 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom FX-4 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom FX-5 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom FX-5 EVOLUTION,0,catalog/img/5286.jpg
5287,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom FX-5 130/30 EVOLUTION,Germikom FX-5 130/30 EVOLUTION,Germikom FX-5 130/30 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom FX-5 130/30 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom FX-5 130/30 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",,,0,catalog/img/5287.jpg
5288,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-200 EVOLUTION,Germikom F-200 EVOLUTION,Germikom F-200 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-200 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-200 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom F-250 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom F-250 EVOLUTION,0,catalog/img/5288.jpg
5289,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-300 EVOLUTION,Germikom F-300 EVOLUTION,Germikom F-300 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-300 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-300 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom F-350 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom F-350 EVOLUTION,0,catalog/img/5289.jpg
5290,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-400 EVOLUTION,Germikom F-400 EVOLUTION,Germikom F-400 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-400 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-400 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom F-450 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom F-450 EVOLUTION,0,catalog/img/5290.jpg
5291,Системы видеонаблюдения|Видеонаблюдение|Камеры видеонаблюдения,Germikom,Germikom F-500 EVOLUTION,Germikom F-500 EVOLUTION,Germikom F-500 EVOLUTION,"Системы видеонаблюдения,Видеонаблюдение,Germikom F-500 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Видеонаблюдение,Germikom F-500 EVOLUTION,Germikom,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Germikom F-550 EVOLUTION,АНАЛОГ ВЗАМЕН: Germikom F-550 EVOLUTION,0,catalog/img/5291.jpg
